園名,住所,倍率,倍率帯,種別,0歳児定員,申込数,総定員,職員数,駐車場,開園時間,電話,保育方針,えんさがしサポート,公式サイト
Luce陽だまりの家保育園,神奈川県横浜市港北区富士塚2-28-16 テルージュ菊名1-102,0.50,1 3.0倍未満(比較的入りやすい),小規模保育園,2,1,10,9,なし,7:30-18:30,045-716-8580,,https://enmikke.jp/parental/yokohama/facility/detail/2445/,https://luce.or.jp
おおつな保育園,神奈川県横浜市港北区大曽根２－３３－８,1.56,1 3.0倍未満(比較的入りやすい),保育園,18,28,214,62,あり,平日 7:00-19:00 / 土曜 7:00-18:00,045-531-0501,,https://enmikke.jp/parental/yokohama/facility/detail/1958/,https://www.shoutokukai.jp/facilities/otsuna
リトルスカラー妙蓮寺保育園,神奈川県横浜市港北区菊名1-17-8,2.17,1 3.0倍未満(比較的入りやすい),保育園,6,13,60,15,なし,平日 7:00-17:30 / 土曜 7:00-18:30,045-401-9002,自然との触れ合いを大切にした実体験型の環境保育。子育ての支援。,https://enmikke.jp/parental/yokohama/facility/detail/2365/,http://ls-myorenji.com/
大倉山元気の泉保育園,神奈川県横浜市港北区樽町１－１４－２０,2.33,1 3.0倍未満(比較的入りやすい),保育園,9,21,120,23,あり,7:00-19:00,045-532-0076,,https://enmikke.jp/parental/yokohama/facility/detail/1929/,https://www.genkinoizumi.net/okurayama/
なあな保育園,神奈川県横浜市港北区樽町３－６－３８,2.33,1 3.0倍未満(比較的入りやすい),保育園,6,14,90,37,あり,平日 7:00-20:00 / 土曜 7:00-18:00,045-543-0327,早寝早起き朝ごはんを合言葉に生活リズムの大切さを実践できるように支援しています。,https://enmikke.jp/parental/yokohama/facility/detail/1951/,http://www.tokyolm.co.jp/nana_ns/
くっくおさんぽ保育園大倉山,神奈川県横浜市港北区大倉山5-39-23,2.67,1 3.0倍未満(比較的入りやすい),不明,6,16,,,なし,,045-566-6777(代),,https://enmikke.jp/parental/yokohama/facility/detail/1999/,http://kukkuosanpo.com/
天才キッズクラブ楽学館大倉山園,神奈川県横浜市港北区大倉山三丁目55番3号,2.83,1 3.0倍未満(比較的入りやすい),保育園,6,17,60,,なし,7:00-20:00,044-819-7866,やらせない、教えない、無理強いしない。子どもたちが主体的に挑戦できる環境づくり。,https://enmikke.jp/parental/yokohama/facility/detail/2416/,http://www.tensaikids.jp/recruit.php
ペガサスベビー保育園,神奈川県横浜市港北区新横浜1-19-18 パルク新横浜101,2.90,1 3.0倍未満(比較的入りやすい),保育園,10,29,20,15,あり,7:00-20:00,045-475-1376,,https://enmikke.jp/parental/yokohama/facility/detail/2397/,http://www.yamayuri-kai.jp
森の樹保育園,神奈川県横浜市港北区大倉山1-22-5,3.00,2 3.0〜6.0倍(平均的),保育園,6,18,102,35,あり,平日 7:30-20:00 / 土曜 7:30-18:30,045-533-0242,子どもが遊んで食べて寝て、生きることそのものを楽しめて、自分が主人公となれる生活を大切にします。,https://enmikke.jp/parental/yokohama/facility/detail/2412/,https://morinoki.yokohama/
太尾保育園,神奈川県横浜市港北区大倉山4-24-7,3.00,2 3.0〜6.0倍(平均的),保育園,11,33,131,,あり,平日 7:00-19:00 / 土曜 7:30-18:30,045-542-0852,一人一人の子どもの姿を受け止め、保育者と子どもたちの信頼関係を築き、生きる力を育てる。,https://enmikke.jp/parental/yokohama/facility/detail/3335/,https://www.city.yokohama.lg.jp/...
ちいさなたね保育園,神奈川県横浜市港北区師岡町846-1,3.33,2 3.0〜6.0倍(平均的),保育園,3,10,60,22,あり,7:30-18:30,045-515-0619,ひとりひとりが安心してゆっくり、たっぷり、たのしく豊かに生活できる環境を作ります。,https://enmikke.jp/parental/yokohama/facility/detail/2391/,http://www.bi-no.org/small
キッズラディ,神奈川県横浜市港北区大豆戸町639-2,3.33,2 3.0〜6.0倍(平均的),保育園,6,20,32,,あり,平日 7:30-19:30 / 土曜 7:30-18:30,045-439-5200,,https://enmikke.jp/parental/yokohama/facility/detail/2465/,http://www.kyokushin-mm.jp/50index
パレット保育園・大豆戸,神奈川県横浜市港北区大豆戸町552-1,3.50,2 3.0〜6.0倍(平均的),保育園,6,21,60,,なし,平日 7:00-20:00 / 土曜 7:00-18:00,045-438-3149,,https://enmikke.jp/parental/yokohama/facility/detail/2419/,https://p-hoiku.com/
パレット保育園・大倉山,神奈川県横浜市港北区樽町1-13-3,3.56,2 3.0〜6.0倍(平均的),保育園,9,32,80,,なし,平日 7:00-20:00 / 土曜 7:00-18:00,045-859-9149,,https://enmikke.jp/parental/yokohama/facility/detail/2421/,https://p-hoiku.com/
大曽根コスモス保育園,神奈川県横浜市港北区大曽根２－３２－８,4.25,2 3.0〜6.0倍(平均的),保育園,4,17,60,27,なし,平日 7:00-19:00 / 土曜 07:00-18:00,045-633-8605,国際社会をテーマに入れ、学力・人間性・体力において「生きる力」をテーマにしています。,https://enmikke.jp/parental/yokohama/facility/detail/2408/,https://cosmosfukushikai.com/
聖保育園,神奈川県横浜市港北区大倉山3-41-17,4.78,2 3.0〜6.0倍(平均的),保育園,9,43,108,,あり,平日 7:00-20:00 / 土曜 7:00-18:30,045-543-3695,,https://enmikke.jp/parental/yokohama/facility/detail/2413/,http://hijirihoikuen.com/index.html
わおわお大倉山保育園,神奈川県横浜市港北区大倉山５－７－２,4.83,2 3.0〜6.0倍(平均的),保育園,6,29,76,18,なし,平日 7:00-20:30 / 土曜 7:00-18:30,045ｰ549ｰ6380,,https://enmikke.jp/parental/yokohama/facility/detail/1940/,http://www.waowao.or.jp
キディ大倉山・横浜,神奈川県横浜市港北区大豆戸町３５－１,4.83,2 3.0〜6.0倍(平均的),保育園,6,29,60,,なし,平日 7:00-20:00,045-717-7122,,https://enmikke.jp/parental/yokohama/facility/detail/2417/,https://www.shinkoufukushikai.com/hoiku/ninka/kiddy-okurayama
ヒューマンアカデミー大倉山保育園,神奈川県横浜市港北区師岡町298,5.00,2 3.0〜6.0倍(平均的),保育園,6,30,90,25,なし,平日 7:00-20:00 / 土曜 7:00-18:30,03-6846-0248（代）,こどもの自立の芽を育てる。受けとめる保育・支える保育・待つ保育。,https://enmikke.jp/parental/yokohama/facility/detail/2390/,https://hoiku.athuman.com/access/#tab_access_okurayama
たんぽぽ保育園,神奈川県横浜市港北区大倉山5-40-15,5.17,2 3.0〜6.0倍(平均的),保育園,6,31,69,,なし,平日 7:30-19:30 / 土曜 7:30-18:30,045-633-4141,子どもを真ん中に。子どもたちが安心して生活できる場を。ひとりひとりに寄り添った保育を。,https://enmikke.jp/parental/yokohama/facility/detail/2414/,http://tanpopo.kir.jp
大倉山保育園,神奈川県横浜市港北区大曽根1-7-1,5.33,2 3.0〜6.0倍(平均的),保育園,6,32,90,35,なし,平日 7:00-20:00 / 土曜 7:00-18:30,045-542-5632,身体と優しい心を地域ともに育む。のびのびと元気に遊ぶ子ども。,https://enmikke.jp/parental/yokohama/facility/detail/2407/,https://kyosaikai.jp/
キッズラボ菊名園,神奈川県横浜市港北区菊名6-12-8 ヴィラレヴァンテ1F,5.50,2 3.0〜6.0倍(平均的),小規模保育園,6,33,19,,なし,7:30-19:30,045-717-5455,,https://enmikke.jp/parental/yokohama/facility/detail/1890/,https://kids-lab.co.jp/
光の園アンティー保育園,神奈川県横浜市港北区菊名1-6-14,5.67,2 3.0〜6.0倍(平均的),不明,6,34,,,なし,7:00-20:00,045-716-8326,,https://enmikke.jp/parental/yokohama/facility/detail/2366/,https://www.aunty-i.com/hikarinosono.html
小学館アカデミーつなしま保育園,神奈川県横浜市港北区樽町2-13-27,5.83,2 3.0〜6.0倍(平均的),保育園,6,35,50,,なし,平日 7:00-20:00 / 土曜 7:00-18:00,045-542-1521,あそび・せいかつからまなびへ。楽習保育を行っています。,https://enmikke.jp/parental/yokohama/facility/detail/1996/,https://hoiku.shopro.co.jp/hoiku/shisetsu/kaminagaya/
きゅーぴーるーむ大倉山園,神奈川県横浜市港北区大倉山3丁目58-13,6.33,3 6.0〜9.0倍(激戦),不明,3,19,,,なし,平日 7:00-19:00 / 土曜 7:00-18:15,045-834-9590,,https://enmikke.jp/parental/yokohama/facility/detail/2455/,https://qproom.jp/okurayamaen/
グローバルキッズ菊名園,神奈川県横浜市港北区菊名6-3-20,6.44,3 6.0〜9.0倍(激戦),保育園,9,58,90,,なし,平日 7:30-20:30 / 土曜 7:30-18:30,045-421-3577,,https://enmikke.jp/parental/yokohama/facility/detail/2019/,https://www.gkids.co.jp/facilities/nursery_011.html
